Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:51:52.222000,HAM,44,0 days 00:01:34.583000,45.0,3.0,,,0 days 00:00:30.534000,0 days 00:00:40.615000,0 days 00:00:23.434000,0 days 01:50:48.149000,0 days 01:51:28.764000,0 days 01:51:52.198000,233.0,258.0,280.0,284.0,False,HARD,17.0,True,Mercedes,0 days 01:50:17.639000,2021-03-28 16:20:17.649,21,1.0,False,,False,True
0 days 01:53:26.714000,HAM,44,0 days 00:01:34.492000,46.0,3.0,,,0 days 00:00:30.238000,0 days 00:00:40.850000,0 days 00:00:23.404000,0 days 01:52:22.436000,0 days 01:53:03.286000,0 days 01:53:26.690000,236.0,258.0,285.0,302.0,False,HARD,18.0,True,Mercedes,0 days 01:51:52.222000,2021-03-28 16:21:52.232,1,1.0,False,,False,True
0 days 01:55:01.305000,HAM,44,0 days 00:01:34.591000,47.0,3.0,,,0 days 00:00:30.448000,0 days 00:00:40.884000,0 days 00:00:23.259000,0 days 01:53:57.138000,0 days 01:54:38.022000,0 days 01:55:01.281000,234.0,256.0,279.0,294.0,False,HARD,19.0,True,Mercedes,0 days 01:53:26.714000,2021-03-28 16:23:26.724,1,1.0,False,,False,True
0 days 01:56:35.472000,HAM,44,0 days 00:01:34.167000,48.0,3.0,,,0 days 00:00:30.336000,0 days 00:00:40.567000,0 days 00:00:23.264000,0 days 01:55:31.617000,0 days 01:56:12.184000,0 days 01:56:35.448000,235.0,257.0,280.0,289.0,False,HARD,20.0,True,Mercedes,0 days 01:55:01.305000,2021-03-28 16:25:01.315,1,1.0,False,,False,True
0 days 01:58:09.608000,HAM,44,0 days 00:01:34.136000,49.0,3.0,,,0 days 00:00:30.273000,0 days 00:00:40.641000,0 days 00:00:23.222000,0 days 01:57:05.721000,0 days 01:57:46.362000,0 days 01:58:09.584000,233.0,256.0,280.0,290.0,False,HARD,21.0,True,Mercedes,0 days 01:56:35.472000,2021-03-28 16:26:35.482,1,1.0,False,,False,True
0 days 01:59:43.962000,HAM,44,0 days 00:01:34.354000,50.0,3.0,,,0 days 00:00:30.265000,0 days 00:00:40.749000,0 days 00:00:23.340000,0 days 01:58:39.849000,0 days 01:59:20.598000,0 days 01:59:43.938000,235.0,257.0,282.0,292.0,False,HARD,22.0,True,Mercedes,0 days 01:58:09.608000,2021-03-28 16:28:09.618,1,1.0,False,,False,True
0 days 02:01:18.541000,HAM,44,0 days 00:01:34.579000,51.0,3.0,,,0 days 00:00:30.360000,0 days 00:00:41.010000,0 days 00:00:23.209000,0 days 02:00:14.298000,0 days 02:00:55.308000,0 days 02:01:18.517000,234.0,257.0,282.0,291.0,False,HARD,23.0,True,Mercedes,0 days 01:59:43.962000,2021-03-28 16:29:43.972,1,1.0,False,,False,True
0 days 02:02:53.480000,HAM,44,0 days 00:01:34.939000,52.0,3.0,,,0 days 00:00:30.625000,0 days 00:00:40.960000,0 days 00:00:23.354000,0 days 02:01:49.142000,0 days 02:02:30.102000,0 days 02:02:53.456000,237.0,258.0,281.0,293.0,False,HARD,24.0,True,Mercedes,0 days 02:01:18.541000,2021-03-28 16:31:18.551,1,1.0,False,,False,True
0 days 02:04:29.635000,HAM,44,0 days 00:01:36.155000,53.0,3.0,,,0 days 00:00:30.810000,0 days 00:00:41.885000,0 days 00:00:23.460000,0 days 02:03:24.266000,0 days 02:04:06.151000,0 days 02:04:29.611000,,255.0,281.0,303.0,False,HARD,25.0,True,Mercedes,0 days 02:02:53.480000,2021-03-28 16:32:53.490,1,1.0,False,,False,True
0 days 02:06:04.449000,HAM,44,0 days 00:01:34.814000,54.0,3.0,,,0 days 00:00:30.734000,0 days 00:00:40.788000,0 days 00:00:23.292000,0 days 02:05:00.345000,0 days 02:05:41.133000,0 days 02:06:04.425000,233.0,258.0,280.0,286.0,False,HARD,26.0,True,Mercedes,0 days 02:04:29.635000,2021-03-28 16:34:29.645,1,1.0,False,,False,True
0 days 02:07:39.155000,HAM,44,0 days 00:01:34.706000,55.0,3.0,,,0 days 00:00:30.605000,0 days 00:00:40.960000,0 days 00:00:23.141000,0 days 02:06:35.030000,0 days 02:07:15.990000,0 days 02:07:39.131000,235.0,258.0,280.0,288.0,False,HARD,27.0,True,Mercedes,0 days 02:06:04.449000,2021-03-28 16:36:04.459,1,1.0,False,,False,True
0 days 02:09:14.073000,HAM,44,0 days 00:01:34.918000,56.0,3.0,,,0 days 00:00:30.431000,0 days 00:00:40.946000,0 days 00:00:23.541000,0 days 02:08:09.562000,0 days 02:08:50.508000,0 days 02:09:14.049000,239.0,267.0,279.0,291.0,False,HARD,28.0,True,Mercedes,0 days 02:07:39.155000,2021-03-28 16:37:39.165,1,1.0,False,,False,True
0 days 02:11:59.252000,HAM,44,,57.0,3.0,,,,,,,,,,,,,,HARD,29.0,True,Mercedes,0 days 02:09:14.073000,,1,,False,,True,False
